date_time,secs_from_start,vis_ring,snd_playing,mri_vol,event_type
2016-03-09-10:36:18.926,286.012,0,wav/901/norm/901-neu-tlk-b.wav,144,new_mri_vol
2016-03-09-10:36:20.927,288.014,0,wav/901/norm/901-neu-tlk-b.wav,145,new_mri_vol
2016-03-09-10:36:22.637,289.724,1,wav/901/norm/901-neu-tlk-b.wav,145,ring_on
2016-03-09-10:36:22.926,290.012,1,wav/901/norm/901-neu-tlk-b.wav,146,new_mri_vol
2016-03-09-10:36:23.088,290.175,1,wav/901/norm/901-neu-tlk-b.wav,146,keypress
2016-03-09-10:36:23.654,290.741,0,wav/901/norm/901-neu-tlk-b.wav,146,ring_off
2016-03-09-10:36:24.926,292.012,0,wav/901/norm/901-neu-tlk-b.wav,147,new_mri_vol
2016-03-09-10:36:25.590,292.677,0,silence,147,sound_off
2016-03-09-10:36:26.925,294.011,0,silence,148,new_mri_vol
2016-03-09-10:36:28.037,295.123,1,silence,148,ring_on
2016-03-09-10:36:28.615,295.702,1,silence,148,keypress
2016-03-09-10:36:28.924,296.011,1,silence,149,new_mri_vol
2016-03-09-10:36:29.037,296.124,0,silence,149,ring_off
2016-03-09-10:36:30.927,298.013,0,silence,150,new_mri_vol
2016-03-09-10:36:31.632,298.719,0,wav/900/norm/900-sad-din-b.wav,150,sound_on
2016-03-09-10:36:32.926,300.012,0,wav/900/norm/900-sad-din-b.wav,151,new_mri_vol
2016-03-09-10:36:34.924,302.010,0,wav/900/norm/900-sad-din-b.wav,152,new_mri_vol
2016-03-09-10:36:36.803,303.890,1,wav/900/norm/900-sad-din-b.wav,152,ring_on
2016-03-09-10:36:36.923,304.010,1,wav/900/norm/900-sad-din-b.wav,153,new_mri_vol
2016-03-09-10:36:37.247,304.334,1,wav/900/norm/900-sad-din-b.wav,153,keypress
2016-03-09-10:36:37.803,304.890,0,wav/900/norm/900-sad-din-b.wav,153,ring_off
2016-03-09-10:36:38.924,306.011,0,wav/900/norm/900-sad-din-b.wav,154,new_mri_vol
2016-03-09-10:36:40.927,308.013,0,wav/900/norm/900-sad-din-b.wav,155,new_mri_vol
2016-03-09-10:36:41.605,308.692,0,silence,155,sound_off
2016-03-09-10:36:42.925,310.013,0,silence,156,new_mri_vol
2016-03-09-10:36:43.619,310.706,1,silence,156,ring_on
2016-03-09-10:36:44.039,311.126,1,silence,156,keypress
2016-03-09-10:36:44.619,311.706,0,silence,156,ring_off
2016-03-09-10:36:44.926,312.012,0,silence,157,new_mri_vol
2016-03-09-10:36:46.927,314.014,0,silence,158,new_mri_vol
2016-03-09-10:36:47.640,314.727,0,wav/901/norm/901-hap-chk-b.wav,158,sound_on
2016-03-09-10:36:48.927,316.014,0,wav/901/norm/901-hap-chk-b.wav,159,new_mri_vol
2016-03-09-10:36:50.927,318.014,0,wav/901/norm/901-hap-chk-b.wav,160,new_mri_vol
2016-03-09-10:36:52.928,320.015,0,wav/901/norm/901-hap-chk-b.wav,161,new_mri_vol
2016-03-09-10:36:53.335,320.422,1,wav/901/norm/901-hap-chk-b.wav,161,ring_on
2016-03-09-10:36:53.878,320.966,1,wav/901/norm/901-hap-chk-b.wav,161,keypress
2016-03-09-10:36:54.335,321.422,0,wav/901/norm/901-hap-chk-b.wav,161,ring_off
2016-03-09-10:36:54.925,322.012,0,wav/901/norm/901-hap-chk-b.wav,162,new_mri_vol
