"Speaker","Emotion","Script","Order","Run","Stim_index","Version"
"fam","neu",1,4,1,55,"a"
"unf","sad",4,4,1,57,"a"
"unf","hap",1,4,1,59,"a"
"fam","ang",2,4,1,61,"a"
"fam","hap",1,4,1,63,"a"
"unf","neu",4,4,1,65,"a"
"unf","neu",4,4,2,1,"b"
"unf","hap",3,4,2,3,"b"
"fam","ang",2,4,2,5,"b"
"fam","sad",3,4,2,7,"b"
"fam","ang",1,4,2,9,"b"
"fam","neu",2,4,2,11,"b"
"unf","ang",1,4,2,13,"b"
"fam","hap",3,4,2,15,"b"
"fam","sad",4,4,2,17,"b"
"unf","neu",3,4,2,19,"b"
"unf","sad",1,4,2,21,"b"
"fam","hap",4,4,2,23,"b"
"unf","neu",1,4,2,25,"b"
"unf","sad",3,4,2,27,"b"
"unf","ang",2,4,2,29,"b"
"fam","neu",4,4,2,31,"b"
"fam","hap",2,4,2,33,"b"
"unf","ang",4,4,2,35,"b"
"fam","sad",1,4,2,37,"b"
"unf","hap",4,4,2,39,"b"
"fam","neu",1,4,2,41,"b"
"fam","ang",4,4,2,43,"b"
"unf","hap",2,4,2,45,"b"
"unf","sad",4,4,2,47,"b"
"fam","neu",3,4,2,49,"b"
"unf","hap",1,4,2,51,"b"
"fam","ang",3,4,2,53,"b"
"unf","sad",2,4,2,55,"b"
"unf","neu",2,4,2,57,"b"
"fam","sad",2,4,2,59,"b"
"unf","ang",3,4,2,61,"b"
"fam","hap",1,4,2,63,"b"
"unf","neu",4,4,2,65,"b"
